date,keyword,CN_00,C_00,L_00,R_00,C_GxP_0,C_BxP_0,MeanTB_00,MeanVADER_00
2016-08-31,PE,5.5051635122026815e-05,2427,2875,2577,0.7844600526777875,0.21553994732221246,0.05903989895856301,-0.06769015245158633
2016-08-31,PU+,1.7012248183568238e-06,75,24,36,0.36363636363636365,0.6363636363636365,0.016677609453333332,-0.23875200000000002
2016-09-30,PE,5.4758859830224246e-05,2304,2108,1794,0.5716878402903811,0.4283121597096189,0.020562401435611062,-0.02394431423611111
2016-09-30,PU+,8.342170052260724e-06,351,302,338,0.40293040293040294,0.5970695970695972,0.12324726710256409,-0.12464387464387465
2016-10-31,PU+,3.129529799821407e-05,1327,634,700,0.28337874659400547,0.7166212534059945,-0.0059672806066314995,-0.4293272042200453
2016-10-31,PE,0.000126808453154783,5377,3981,2901,0.6587255471625024,0.3412744528374976,0.059203128180255145,0.02618538218337363
2016-11-30,PE,6.657111329212134e-05,2766,3637,2753,0.7697466467958272,0.2302533532041729,0.10377469866171962,0.13468709327548806
2016-11-30,PU+,1.2154162043572405e-05,505,60,42,0.4143426294820717,0.5856573705179282,0.00868717228118812,-0.3051249504950495
2016-12-31,PE,5.1915043419535925e-05,2000,1497,1375,0.7573264781491003,0.24267352185089971,0.1124173487854738,0.0558418
2016-12-31,PU+,2.5178796058474926e-06,97,68,61,0.2604166666666667,0.7395833333333334,-0.02769447056701031,-0.23781134020618555
2017-01-31,PE,4.729570273370611e-05,1958,2044,1328,0.7873443983402489,0.21265560165975103,0.10058980682245015,0.106638253319714
2017-01-31,PU+,3.06769879835581e-06,127,103,220,0.8114754098360655,0.18852459016393444,0.028270223307086614,0.07877559055118111
2017-02-28,PE,4.4743215870759516e-05,1654,3018,1891,0.7810173697270472,0.21898263027295284,0.10892803199895854,0.1225770253929867
2017-02-28,PU+,1.8124519125398353e-06,67,66,24,0.6153846153846154,0.38461538461538464,0.01990197819402985,-0.10685970149253733
2017-03-31,PU+,1.1295600184471885e-06,46,30,20,0.4772727272727273,0.5227272727272727,0.05932147560869566,-0.07489782608695653
2017-03-31,PE,3.226612748346969e-05,1314,1909,1129,0.8167580266249022,0.18324197337509787,0.094411302747157,0.15258736681887367
2017-04-30,PE,2.844883333884513e-05,1071,1677,1000,0.8571428571428571,0.14285714285714285,0.08899307775860063,0.14322829131652662
2017-04-30,PU+,1.0359519142996825e-06,39,669,256,0.5757575757575758,0.42424242424242425,0.021456552717948718,-0.18847948717948718
2017-05-31,PE,4.234240392494712e-05,1683,2253,1668,0.7875615763546798,0.21243842364532023,0.11089846851147354,0.12146333927510398
2017-05-31,PU+,4.126057185794016e-06,164,201,165,0.26143790849673204,0.738562091503268,-0.0038296180548780495,-0.2722219512195122
2017-06-30,PE,3.527027081235482e-05,1398,1640,1108,0.7933884297520661,0.2066115702479339,0.07396031048765983,0.10157753934191703
2017-06-30,PU+,3.052720148994945e-06,121,122,120,0.6590909090909092,0.3409090909090909,0.01328077109090909,-0.30385702479338844
2017-07-31,PU+,6.454241685434857e-07,26,66,30,0.5416666666666666,0.4583333333333333,-0.006126469,0.008730769230769233
2017-07-31,PE,2.1373469581382354e-05,861,1020,579,0.8021712907117008,0.19782870928829915,0.115821581537682,0.15166097560975608
2017-08-31,PU+,5.341617048304972e-07,22,8,8,0.631578947368421,0.3684210526315789,-0.046224747409090904,-0.23457272727272727
2017-08-31,PE,3.3725027636798205e-05,1389,2212,1400,0.7942477876106195,0.20575221238938055,0.0973687071983958,0.14877177825773938
2017-09-30,PE,2.4559159829060963e-05,944,5137,2253,0.7590759075907592,0.24092409240924093,0.10012598373578908,0.12827658898305083
2017-09-30,PU+,1.3528350753296293e-06,52,122,129,0.7435897435897436,0.2564102564102564,-0.014053952961538456,-0.010094230769230772
2017-10-31,PE,2.7008591356471085e-05,1060,3470,1843,0.8391136801541426,0.1608863198458574,0.07975141984369578,0.07075783018867925
2017-10-31,PU+,1.630707402654858e-06,64,1042,1162,0.8837209302325582,0.11627906976744184,-0.021494345031249997,-0.19376875
2017-11-30,PE,4.9638307678492515e-05,2053,12576,8353,0.8555057299451919,0.14449427005480817,0.11820269729873174,0.1717736970287384
2017-11-30,PU+,9.115266436820106e-06,377,540,521,0.708133971291866,0.29186602870813394,0.07776278797612732,-0.1255079575596817
2017-12-31,PE,3.396512572686316e-05,1434,4531,2362,0.8506723283793348,0.14932767162066526,0.11389747452645316,0.16644909344490932
2017-12-31,PU+,7.579386494139618e-07,32,37,40,0.8666666666666667,0.13333333333333333,0.0800009469375,-0.10846562500000001
2018-01-31,PU+,1.4104948654068858e-06,63,89,52,0.65,0.35000000000000003,0.04164261661904762,-0.10527142857142856
2018-01-31,PE,3.2463770711745784e-05,1450,4520,2275,0.8130372492836676,0.18696275071633237,0.1282129482116047,0.1623
2018-02-28,PE,2.69393668478398e-05,1105,2603,1232,0.7465051258154706,0.2534948741845294,0.09209371502000178,0.12823330316742082
2018-02-28,PU+,1.1702168404491497e-06,48,39,35,0.5,0.5,-0.0064754377083333335,-0.1695458333333333
2018-03-31,PE,3.088612148545584e-05,1383,3764,1779,0.7713004484304933,0.2286995515695067,0.11261096868750713,0.18984584237165583
2018-03-31,PU+,8.263098300519639e-07,37,207,70,0.7142857142857143,0.2857142857142857,0.07643328194594594,-0.08372432432432433
2018-04-30,PE,5.466231360420391e-05,2334,8228,3045,0.8870826010544816,0.11291739894551846,0.1573092114265969,0.2528015852613539
2018-04-30,PU+,1.4286208782589711e-06,61,1070,580,0.8793103448275862,0.1206896551724138,0.04474719873770492,-0.1453655737704918
2018-05-31,PE,3.872215118705228e-05,1738,8692,3572,0.803191489361702,0.19680851063829785,0.11675810875630878,0.2183012082853855
2018-05-31,PU+,1.1585453749866043e-06,52,233,176,0.7142857142857143,0.2857142857142857,0.008523754499999998,-0.23515384615384616
2018-06-30,PU+,1.4292028849581608e-06,65,312,117,0.7966101694915254,0.20338983050847456,0.08192325264615385,-0.036167692307692303
2018-06-30,PE,3.649964290816226e-05,1660,7984,2874,0.6502800248911014,0.3497199751088985,0.11037923574894659,0.15661644578313252
2018-07-31,PE,5.776728488375224e-05,2660,11994,5175,0.7784200385356455,0.22157996146435455,0.13625872689492877,0.17546270676691728
2018-07-31,PU+,1.8676640977453733e-06,86,309,120,0.7857142857142857,0.21428571428571427,0.052862522604651165,-0.07902325581395349
2018-08-31,PE,3.3364867949996835e-05,1524,5301,2418,0.6833898305084746,0.3166101694915254,0.10444107167700066,0.14709317585301837
2018-08-31,PU+,1.16032677253926e-06,53,267,77,0.803921568627451,0.19607843137254902,0.04418460211320755,0.030935849056603775
2018-09-30,PE,5.273439962128033e-05,2397,11960,5057,0.5546506643806258,0.4453493356193742,0.08291959751295243,0.06604797663746349
2018-09-30,PU+,1.4740111700566467e-06,67,450,144,0.7076923076923077,0.2923076923076923,0.02801302885074627,-0.053102985074626866
2018-10-31,PE,4.1164392542097156e-05,1912,14518,4809,0.663232104121475,0.33676789587852496,0.10687110594005253,0.11410266736401674
2018-10-31,PU+,1.7869480026119583e-06,83,144,113,0.8395061728395062,0.16049382716049385,0.09600129739759036,0.031801204819277104
2018-11-30,PU+,6.946522799249704e-07,31,345,107,0.8,0.2,0.1253665689032258,-0.039206451612903225
2018-11-30,PE,3.6995835940520195e-05,1651,11027,5124,0.7394278606965174,0.2605721393034826,0.09816552491497194,0.1577274379164143
2018-12-31,PE,2.639830275148153e-05,1187,12697,3815,0.7654751525719268,0.23452484742807325,0.10619460927730762,0.19121246840775064
2018-12-31,PU+,1.0230176297962513e-06,46,129,50,0.7317073170731707,0.2682926829268293,0.0725156455,0.07800652173913043
2019-01-31,PE,3.1123971853581524e-05,1552,8575,2563,0.7418927862342819,0.25810721376571805,0.1093601841236067,0.1413442654639175
2019-01-31,PU+,1.6845448683639485e-06,84,183,107,0.6666666666666666,0.3333333333333333,0.09275160189285715,-0.08301666666666667
2019-02-28,PE,2.974483499298658e-05,1361,6720,2329,0.8091603053435115,0.19083969465648853,0.11341563919337233,0.1683506980161646
2019-02-28,PU+,1.0490463480259779e-06,48,148,39,0.8723404255319149,0.12765957446808512,0.10803227591666666,-0.04791458333333334
2019-03-31,PE,3.0018085313148218e-05,1544,8223,2660,0.7954239569313594,0.20457604306864063,0.11440832645612091,0.20030110103626944
2019-03-31,PU+,1.3025982616456805e-06,67,1846,281,0.8360655737704918,0.16393442622950818,0.03304142162686567,0.07727313432835822
2019-04-30,PE,2.999006368084494e-05,1492,7303,3003,0.7325017325017324,0.2674982674982675,0.11215309634249111,0.17894718498659518
2019-04-30,PU+,1.226135311348218e-06,61,135,61,0.7868852459016393,0.21311475409836064,0.04165936285245902,0.0656950819672131
2019-05-31,PE,3.3053921304370396e-05,1688,8240,3274,0.7665441176470589,0.23345588235294118,0.12243359398928737,0.21972304502369666
2019-05-31,PU+,1.2923926576353353e-06,66,603,233,0.8387096774193548,0.16129032258064513,0.04799888312121212,-0.19411212121212124
2019-06-30,PE,3.376696696010093e-05,1660,30877,8840,0.8230143839899938,0.17698561601000626,0.11349163853592129,0.2320144578313253
2019-06-30,PU+,1.0984435035213556e-06,54,265,94,0.8653846153846154,0.13461538461538464,0.03514803990740741,0.06579629629629628
2019-07-31,PE,3.065151767134213e-05,1590,11075,4288,0.7846454131424854,0.21535458685751466,0.11260933257971105,0.19699685534591196
2019-07-31,PU+,1.2723271486217487e-06,66,89,39,0.873015873015873,0.12698412698412695,0.09318901945454545,-0.216119696969697
2019-08-31,PU+,1.6786817210591923e-06,89,205,101,0.9529411764705883,0.047058823529411764,0.041084847235955055,-0.11860337078651688
2019-08-31,PE,2.8688481996977884e-05,1521,11218,4398,0.7582714382174206,0.24172856178257932,0.1125544803509591,0.1885742932281394
2019-09-30,PU+,1.7029745072741774e-06,87,842,172,0.8117647058823529,0.18823529411764706,0.0941518696321839,-0.15857931034482758
2019-09-30,PE,3.396161804736434e-05,1735,35561,12908,0.7766647024160283,0.22333529758397172,0.12860738942742425,0.2025179827089337
2019-10-31,PE,2.4991582439457566e-05,1352,6324,2499,0.7747336377473364,0.2252663622526636,0.11096580827366472,0.2107164940828402
2019-10-31,PU+,1.423337165560823e-06,77,484,158,0.8666666666666666,0.13333333333333333,0.0920556015974026,0.025337662337662326
2019-11-30,PE,2.4505307755408638e-05,1274,8601,2296,0.8164094232331438,0.18359057676685622,0.10076188432181402,0.1979629513343799
2019-11-30,PU+,1.077156384853127e-06,56,323,193,0.8888888888888888,0.1111111111111111,0.10605619944642856,0.02343571428571429
2019-12-31,PE,2.228310880523435e-05,1203,6434,1863,0.6469049694856146,0.35309503051438534,0.09709501046153556,0.11936384039900248
2019-12-31,PU+,1.037285197916146e-06,56,689,105,0.8,0.2,0.06409887871428571,0.15910892857142858
2020-01-31,PE,2.596746500311793e-05,1486,15078,6981,0.7168330955777461,0.2831669044222539,0.0830515605839315,0.12406924629878868
2020-01-31,PU+,2.5687869148441023e-06,147,724,370,0.4666666666666667,0.5333333333333333,0.05572572479591836,-0.16011768707482996
2020-02-29,PE,2.684049644064479e-05,1459,16082,5176,0.622286541244573,0.3777134587554269,0.10102310222945558,0.0688496915695682
2020-02-29,PU+,2.005218719691763e-06,109,1156,598,0.6796116504854369,0.32038834951456313,0.019241560532110093,-0.24434495412844037
2020-03-31,PE,2.3697693266537436e-05,1690,40581,12162,0.5401948842874543,0.4598051157125457,0.08252278138371755,0.028268639053254437
2020-03-31,PU+,2.5380369711498673e-06,181,1097,407,0.7683615819209039,0.23163841807909602,0.07916273717679558,-0.16972541436464086
2020-04-30,PE,2.9327182791556772e-05,2181,32269,8716,0.5349386213408877,0.4650613786591124,0.07292949249750943,0.018658276020174232
2020-04-30,PU+,2.0707868637779655e-06,154,1792,498,0.7655172413793102,0.23448275862068965,0.09748442553896104,-0.022511038961038968
2020-05-31,PE,3.481295934319019e-05,2622,55072,17817,0.4913860610806578,0.5086139389193423,0.09727210210708306,0.04757967200610221
2020-05-31,PU+,2.6421734970613453e-06,199,4160,1057,0.7210526315789474,0.2789473684210526,0.08072969730653266,-0.021590954773869343
2020-06-30,PU+,1.5125012794326555e-06,116,1027,293,0.6846846846846847,0.31531531531531526,0.11424789572413793,-0.022898275862068964
2020-06-30,PE,2.816381692736669e-05,2160,46900,8693,0.5779376498800959,0.42206235011990406,0.0886737461352458,0.06943314814814816
2020-07-31,PE,3.1929854081201134e-05,2517,21780,7259,0.5205592105263158,0.47944078947368424,0.08460537958035372,0.056343106873261814
2020-07-31,PU+,1.8394234572007008e-06,145,1086,341,0.6382978723404256,0.3617021276595745,0.060693612841379314,-0.002828275862068966
2020-08-31,PE,3.5949507434745757e-05,2838,51733,17586,0.42392909896602665,0.5760709010339735,0.04215237524656726,-0.04642413671599718
2020-08-31,PU+,1.3047213762434153e-06,103,2903,873,0.736842105263158,0.2631578947368421,0.10709966113592233,0.036854368932038827
2020-09-30,PE,2.7503914868617675e-05,2122,25226,7950,0.5887760038703435,0.4112239961296565,0.08120436550402375,0.10202756833176249
2020-09-30,PU+,1.2442864408045695e-06,96,499,137,0.8555555555555555,0.14444444444444446,0.11504192409375001,-0.05048020833333333
2020-10-31,PU+,1.7173128827757964e-06,141,598,207,0.6423357664233577,0.3576642335766423,0.06766765938297872,-0.0007382978723404258
2020-10-31,PE,2.0169291729622118e-05,1656,9044,3353,0.6219059405940595,0.37809405940594065,0.09235939873042913,0.12620253623188404
2020-11-30,PU+,1.8853317854313382e-06,155,1476,463,0.7718120805369127,0.22818791946308725,0.12132809032903226,0.09479870967741935
2020-11-30,PE,2.4740418397208657e-05,2034,64812,23898,0.6171284634760704,0.38287153652392947,0.07917814935938092,0.11408446411012782
2020-12-31,PE,2.0146175798310543e-05,1594,19822,5556,0.5872504829362525,0.4127495170637476,0.09155244811875984,0.09382427854454203
2020-12-31,PU+,1.2133204997727804e-06,96,764,184,0.7765957446808511,0.22340425531914893,0.0730051219375,0.23268020833333333
2021-01-31,PE,2.3655189584889227e-05,2065,49777,16892,0.5818452380952381,0.41815476190476186,0.06246072872156262,0.07160585956416464
2021-01-31,PU+,1.1455297619801077e-06,100,552,174,0.7474747474747475,0.25252525252525254,0.06133483883,0.037772999999999994
2021-02-28,PE,2.3647988642419296e-05,1734,38939,9647,0.5762411347517731,0.423758865248227,0.0760969565317481,0.07657404844290658
2021-02-28,PU+,9.68285578784181e-07,71,2177,680,0.8382352941176471,0.16176470588235295,0.0702135201971831,0.019425352112676052
2021-03-31,PE,3.13978128932628e-05,2496,37613,12767,0.5811258278145696,0.4188741721854305,0.08338116325978466,0.0774020032051282
2021-03-31,PU+,2.088155825433343e-06,166,1658,487,0.8109756097560975,0.1890243902439024,0.10082086384939758,0.03035180722891566
2021-04-30,PU+,1.8251719140006504e-06,138,2534,561,0.6992481203007518,0.3007518796992481,0.026547388101449278,-0.06589492753623187
2021-04-30,PE,2.9758237728271475e-05,2250,32816,8737,0.6439290586630286,0.3560709413369713,0.09475615679925599,0.10207186666666666
2021-05-31,PE,2.9788789217194357e-05,2234,23288,7066,0.6221198156682027,0.37788018433179726,0.10075268252243563,0.11987264995523725
2021-05-31,PU+,1.253422643874785e-06,94,2769,1071,0.7666666666666666,0.23333333333333334,0.07799150956382979,-0.03257659574468085
2021-06-30,PE,3.229239989615766e-05,2269,103034,22043,0.7337837837837837,0.2662162162162162,0.10529308042117236,0.16887778757161745
2021-06-30,PU+,1.6082155964150795e-06,113,1054,325,0.8125,0.18750000000000003,0.0982407733539823,-0.04903008849557522
2021-07-31,PE,2.6146986228070984e-05,1923,16411,4539,0.6499466382070438,0.35005336179295626,0.09140439073048366,0.1173804992199688
2021-07-31,PU+,2.1211283679558364e-06,156,1395,416,0.8493150684931507,0.15068493150684933,0.051328388025641034,-0.045349358974358975
2021-08-31,PE,2.835062460995732e-05,2159,21392,6982,0.6968973747016707,0.3031026252983294,0.08490246875292035,0.14838119499768412
2021-08-31,PU+,1.5626328525173326e-06,119,805,217,0.7758620689655171,0.22413793103448276,0.06592364798319328,-0.12584117647058823
2021-09-30,PU+,1.2539580139746097e-06,90,1034,132,0.7701149425287356,0.22988505747126434,0.06992511845555555,-0.07732
2021-09-30,PE,2.7364150438290373e-05,1964,16501,4818,0.6374085684430512,0.3625914315569488,0.09582704080904879,0.11922866598778004
2021-10-31,PE,2.8424100614660776e-05,2050,18828,4195,0.681726907630522,0.3182730923694779,0.1080719767272829,0.17441590243902438
2021-10-31,PU+,9.151173856427372e-07,66,1380,277,0.6825396825396826,0.31746031746031744,0.08030334915151516,0.03705
2021-11-30,PE,2.9895523043892212e-05,2120,20327,5908,0.7577220077220077,0.24227799227799227,0.1031294235220434,0.18113391509433963
2021-11-30,PU+,1.2832512249972601e-06,91,539,172,0.8648648648648648,0.13513513513513514,0.1173100675934066,0.06925274725274724
2021-12-31,PE,2.4076034081585276e-05,1739,10858,3301,0.735399284862932,0.26460071513706795,0.10907406862213091,0.203891201840138
2021-12-31,PU+,1.6336814385434518e-06,118,1087,820,0.7631578947368421,0.2368421052631579,0.08166398354237288,-0.017955932203389834
2022-01-31,PE,2.6442649571336473e-05,2074,37028,8737,0.7043650793650794,0.2956349206349206,0.1012365710279281,0.16369537126325942
2022-01-31,PU+,1.3897053053402486e-06,109,658,208,0.7476635514018691,0.25233644859813087,0.08804299290825687,-0.1293165137614679
2022-02-28,PU+,1.1064390951955993e-06,80,422,117,0.7375,0.2625,0.040577459112500006,-0.1579075
2022-02-28,PE,3.0095143389320304e-05,2176,41845,11686,0.7080774681152574,0.29192253188474254,0.10954001497025105,0.19603239889705884
2022-03-31,PE,2.7782395823859955e-05,2249,28317,6866,0.7123974475843209,0.2876025524156791,0.10904496925152293,0.17709573143619387
2022-03-31,PU+,1.1241431836243912e-06,91,854,380,0.7558139534883721,0.24418604651162792,0.07536232795604396,-0.039823076923076926
2022-04-30,PE,2.68158026834579e-05,2048,44331,11413,0.7545180722891567,0.2454819277108434,0.10934580032575027,0.198393359375
2022-04-30,PU+,1.6890813213701508e-06,129,13114,3792,0.496,0.504,0.1403979417751938,-0.16193100775193797
2022-05-31,PE,5.9091287407450934e-05,4710,162606,31206,0.5991247264770241,0.400875273522976,0.10328075350277725,0.13244951167728236
2022-05-31,PU+,2.9357454890325945e-06,234,1472,333,0.5648148148148149,0.4351851851851852,0.08444448976068376,-0.05645726495726496
2022-06-30,PE,3.231526823664856e-05,2425,27520,6689,0.7232597623089984,0.2767402376910017,0.08709328111034449,0.1443136082474227
2022-06-30,PU+,1.492498986599851e-06,112,1302,410,0.4905660377358491,0.5094339622641509,0.031431164294642856,-0.05994107142857143
2022-07-31,PE,3.656498056778129e-05,2740,127869,30778,0.6811702925731433,0.31882970742685673,0.09579928468618924,0.1386902919708029
2022-07-31,PU+,1.6948001942000814e-06,127,1303,263,0.7213114754098361,0.2786885245901639,0.033150026692913385,-0.05868267716535433
2022-08-31,PE,2.9971189671616553e-05,2367,18351,4308,0.7522619560534253,0.24773804394657473,0.10545833435088878,0.17068217152513732
2022-08-31,PU+,9.369953678494401e-07,74,16795,3298,0.7671232876712328,0.23287671232876714,0.09663047422972973,0.07724594594594594
2022-09-30,PE,3.788535779821694e-05,3006,60929,13539,0.7167748548001367,0.28322514519986336,0.11181472058729414,0.216941749833666
2022-09-30,PU+,1.2225148723975525e-06,97,1178,247,0.6344086021505376,0.3655913978494624,0.06613412787628867,-0.176019587628866
2022-10-31,PE,4.1505941976894534e-05,3620,28993,6941,0.7979741136747327,0.2020258863252673,0.08575395180163876,0.3952122099447514
2022-10-31,PU+,1.0663128739920419e-06,93,784,229,0.7666666666666666,0.23333333333333336,0.04332027230107527,-0.04084731182795699
2022-11-30,PE,3.1082698114225626e-05,2742,95982,19221,0.7817638266068759,0.21823617339312407,0.11168181316667675,0.2121816192560175
2022-11-30,PU+,7.821685521085223e-07,69,9343,5260,0.7777777777777777,0.22222222222222224,0.07261243389855074,0.10408115942028985
2022-12-31,PE,2.751840974627658e-05,2167,32512,6350,0.7447916666666666,0.2552083333333333,0.10359224738341095,0.2005670050761421
2022-12-31,PU+,8.254253038800081e-07,65,2612,117,0.721311475409836,0.2786885245901639,0.0583182013753442,-0.006983076923076923
