,gdpg
2000/03/01,6.90957327
2000/06/01,5.98153931
2000/09/01,2.42838168
2000/12/01,2.62723873
2001/03/01,2.32566083
2001/06/01,3.71554276
2001/09/01,3.63660439
2001/12/01,4.1201546
2002/03/01,4.56810137
2002/06/01,6.36839792
2002/09/01,6.92568002
2002/12/01,6.76007498
2003/03/01,7.61344316
2003/06/01,6.29918637
2003/09/01,6.83833808
2003/12/01,7.94848048
2004/03/01,6.52506993
2004/06/01,6.31867418
2004/09/01,5.64531554
2004/12/01,6.63668844
2005/03/01,3.85064976
2005/06/01,4.3324455
2005/09/01,4.74821244
2005/12/01,3.8587047
2006/03/01,5.50987182
2006/06/01,4.46576129
2006/09/01,4.4648592
2006/12/01,5.38321772
2007/03/01,6.55938495
2007/06/01,5.24413451
2007/09/01,5.46343256
2007/12/01,4.50982183
2008/03/01,3.32581222
2008/06/01,3.52431287
2008/09/01,2.24694277
2008/12/01,-1.98156628
2009/03/01,-4.27845294
2009/06/01,-3.05759584
2009/09/01,-0.50180905
2009/12/01,5.12296159
2010/03/01,12.16115131
2010/06/01,8.98079007
2010/09/01,5.76864075
2010/12/01,3.44783114
2011/03/01,3.2750408
2011/06/01,1.82785918
2011/09/01,2.40570666
2011/12/01,-4.03747127
2012/03/01,2.85381603
2012/06/01,6.02769873
2012/09/01,5.03760717
2012/12/01,15.46781994
2013/03/01,5.39082763
2013/06/01,2.72549099
2013/09/01,2.48969136
2013/12/01,0.20431919
2014/03/01,-0.37088724
2014/06/01,0.83728724
2014/09/01,1.08155429
2014/12/01,2.41938097
2015/03/01,3.06860814
2015/06/01,2.91931001
2015/09/01,3.44732449
2015/12/01,3.1109944
2016/03/01,3.32866585
2016/06/01,3.8114204
2016/09/01,3.19075516
2016/12/01,3.41649707
2017/03/01,3.83108884
2017/06/01,4.34639856
2017/09/01,4.4816921
2017/12/01,4.08411536
2018/03/01,5.05343478
2018/06/01,4.64928353
2018/09/01,3.23771902
2018/12/01,3.91169173
2019/03/01,2.64703272
2019/06/01,2.22611378
2019/09/01,2.4579168
2019/12/01,1.1601043
2020/03/01,-2.22612915
2020/06/01,-12.26290812
2020/09/01,-6.32342631
2020/12/01,-4.19342933
2021/03/01,-2.39962563
2021/06/01,7.75425699
2021/09/01,-0.18614216
2021/12/01,1.98000048
2022/03/01,2.15949364
2022/06/01,2.46192125
2022/09/01,4.58856415
2022/12/01,1.37290976